Date,R1_SRP,R1_TP,R1_TDP,H1_SRP,H1_TP,H1_TDP
2005-08-11,618.8932033,1909.599566,836.8688831,795.1603503,1640.718548,1056.488934
2005-08-12,619.6130347,1913.113743,838.2235657,795.1603503,1640.718548,1056.488934
2005-08-13,620.4449968,1917.175336,839.7892724,795.1603503,1640.718548,1056.488934
2005-08-14,621.06583,1920.20621,840.957646,795.1603503,1640.718548,1056.488934
2005-08-15,621.5220149,1922.433279,841.8161607,795.1603503,1640.718548,1056.488934
2005-08-16,621.8660864,1924.113017,842.4636841,795.1603503,1640.718548,1056.488934
2005-08-17,622.2847651,1926.156984,843.2516142,795.1603503,1640.718548,1056.488934
2005-08-18,624.1311171,1935.170772,846.7263462,795.1603503,1640.718548,1056.488934
2005-08-19,626.7468605,1947.940687,851.6490302,795.1603503,1640.718548,1056.488934
2005-08-20,628.5082506,1956.539696,854.9638686,795.1603503,1640.718548,1056.488934
2005-08-21,630.1291432,1964.452804,858.0142986,795.1603503,1640.718548,1056.488934
2005-08-22,631.2125927,1969.742145,860.0532904,795.1603503,1640.718548,1056.488934
2005-08-23,632.1610956,1974.372684,861.8383202,795.1603503,1640.718548,1056.488934
2005-08-24,633.1480379,1979.190882,863.695691,795.1603503,1640.718548,1056.488934
2005-08-25,633.7988051,1982.367891,864.9203988,795.1603503,1640.718548,1056.488934
2005-08-26,634.1690732,1984.17552,865.6172228,795.1603503,1640.718548,1056.488934
2005-08-27,634.5232605,1985.904642,866.2837836,795.1603503,1640.718548,1056.488934
2005-08-28,635.4427062,1989.631506,867.5762428,795.1603503,1640.718548,1056.488934
2005-08-29,636.8926066,1995.508504,869.614359,795.1603503,1640.718548,1056.488934
2005-08-30,638.0255013,2000.100558,871.2068622,795.1603503,1640.718548,1056.488934
2005-08-31,639.124554,2004.555437,872.7517939,795.1603503,1640.718548,1056.488934
2005-09-01,639.8208482,2007.377783,873.7305705,795.1603503,1640.718548,1056.488934
2005-09-02,640.3072712,2009.34944,874.4143323,795.1603503,1640.718548,1056.488934
2005-09-03,641.0971657,2012.551183,875.5246823,795.1603503,1640.718548,1056.488934
2005-09-04,642.055201,2016.434465,876.8713866,795.1603503,1640.718548,1056.488934
2005-09-05,642.6493085,2018.842609,877.7065199,795.1603503,1640.718548,1056.488934
2005-09-06,643.1103243,2020.711282,878.354567,799.418532,1655.712305,1062.32422
2005-09-07,643.7018964,2023.109148,879.1861363,803.6117616,1670.477355,1068.070497
2005-09-08,644.1484121,2024.919047,879.8138008,806.766967,1681.587352,1072.394297
2005-09-09,644.5767725,2026.655355,880.4159444,809.102829,1689.812305,1075.595293
2005-09-10,645.0273539,2028.481732,881.0493239,812.2831535,1701.01075,1079.953516
2005-09-11,645.5206426,2030.48122,881.7427369,814.6954586,1709.504873,1083.259267
2005-09-12,645.9730193,2032.314875,882.3786401,817.9175012,1720.850214,1087.674659
2005-09-13,646.3969489,2034.033223,882.9745553,819.9779386,1728.105353,1090.498221
2005-09-14,647.0316319,2036.605835,883.8667253,823.358058,1740.007308,1095.130237
2005-09-15,647.5555954,2038.729658,884.6032577,828.6664559,1756.542474,1101.530813
2005-09-16,647.9818384,2040.457383,885.2024249,835.5840609,1776.922803,1109.398638
2005-09-17,648.3446717,2041.928085,885.7124574,842.7541194,1798.046899,1117.553595
2005-09-18,648.8360881,2043.919983,886.4032385,847.8134932,1812.952593,1123.307938
2005-09-19,649.4023018,2046.215062,887.1991617,853.6182576,1830.054322,1129.91006
2005-09-20,649.8680643,2048.102975,887.8538812,858.4865977,1844.397201,1135.447128
2005-09-21,650.3010509,2049.858035,888.4625278,862.8176484,1857.157143,1140.373103
2005-09-22,650.6670874,2051.34172,888.9770631,866.8993561,1869.182482,1145.015485
2005-09-23,651.0292216,2052.60717,889.547862,871.5317023,1882.830087,1150.284143
2005-09-24,651.3826294,2053.842127,890.1049063,875.0974555,1893.335345,1154.339697
2005-09-25,651.7417923,2055.097194,890.6710217,878.3072036,1902.791757,1157.990345
2005-09-26,652.0708724,2056.24714,891.1897206,881.7264656,1912.865429,1161.879286
2005-09-27,652.5206932,2057.819004,891.8987318,885.0759425,1922.733503,1165.688855
2005-09-28,652.8488502,2058.965724,892.4159756,888.4956007,1932.808343,1169.578247
2005-09-29,653.2095589,2060.226193,892.9845276,892.1564677,1943.59382,1173.74198
2005-09-30,653.5705905,2061.487791,893.5535886,894.1503475,1950.805348,1176.284671
2005-10-01,654.0810356,2063.271502,894.3581564,894.7553224,1956.685704,1177.815257
2005-10-02,654.6524037,2065.268104,895.2587515,895.3793271,1962.751029,1179.393989
2005-10-03,655.0036395,2066.495471,895.8123722,896.021667,1968.994573,1181.019109
2005-10-04,655.2984395,2067.525627,896.2770384,896.453378,1973.190804,1182.111337
2005-10-05,655.6719566,2068.830854,896.8657792,896.8642866,1977.184835,1183.150936
2005-10-06,656.0133679,2070.02389,897.4039145,897.2746215,1981.17329,1184.189084
2005-10-07,656.3787539,2071.300703,897.9798389,902.6727001,2033.642612,1197.846222
2005-10-08,656.7033457,2072.434965,898.4914633,904.3308345,2049.759679,1202.041302
2005-10-09,656.9926238,2073.445825,898.9474257,905.0226256,2056.483888,1203.791533
2005-10-10,657.3240082,2074.603823,899.4697565,905.4500144,2060.638106,1204.872827
2005-10-11,657.608793,2075.598982,899.9186368,905.7993289,2064.033443,1205.756592
2005-10-12,657.980804,2076.898946,900.5050036,906.0761765,2066.724402,1206.457017
2005-10-13,658.2936659,2077.992218,900.998139,906.3265148,2069.15769,1207.090373
2005-10-14,658.6044414,2079.078199,901.487986,906.5288319,2071.124212,1207.602235
2005-10-15,658.9109159,2080.149151,901.9710536,906.7644194,2073.414123,1208.198271
2005-10-16,659.2492036,2081.331272,902.5042656,907.2672159,2075.958273,1208.936824
2005-10-17,659.6963397,2082.313636,902.9967826,908.0537966,2078.891095,1209.853752
2005-10-18,660.1476987,2083.305279,903.4939512,908.8442164,2081.838232,1210.775156
2005-10-19,660.5303572,2084.145985,903.9154467,909.6002215,2084.657051,1211.656441
2005-10-20,660.9264907,2085.016296,904.3517848,910.266532,2087.141438,1212.433169
2005-10-21,661.4705886,2086.211687,904.9511046,910.9783762,2089.795599,1213.262976
2005-10-22,661.9411178,2087.245447,905.469389,911.605682,2092.134554,1213.994235
2005-10-23,662.3214585,2088.081061,905.8883315,912.1585588,2094.195995,1214.638732
2005-10-24,662.9165398,2089.388464,906.5438091,912.7383358,2096.357735,1215.314586
2005-10-25,663.3470521,2090.334306,907.0180152,913.4146229,2098.879319,1216.102944
2005-10-26,663.7185212,2091.150429,907.4271856,914.2099203,2101.844642,1217.030033
2005-10-27,664.0503473,2091.879456,907.7926897,915.0011261,2104.79471,1217.952353
2005-10-28,664.3478603,2092.533096,908.1203981,915.7882401,2107.72952,1218.869903
2005-10-29,664.6155189,2093.121146,908.415222,916.5712624,2110.649075,1219.782683
2005-10-30,664.8570703,2093.651838,908.681289,917.3501931,2113.553374,1220.690694
2005-10-31,665.0756791,2094.132125,908.922085,918.125032,2116.442416,1221.593935
2005-11-01,665.2740313,2094.567908,909.1405685,918.8957792,2119.316202,1222.492406
2005-11-02,665.4544183,2094.964221,909.3392635,919.6624347,2122.174732,1223.386107
2005-11-03,665.6188052,2095.325381,909.5203345,920.4249984,2125.018005,1224.275038
2005-11-04,665.71647,2095.793993,909.6316633,921.1834705,2127.846022,1225.1592
2005-11-05,665.7578479,2096.349522,909.6841026,921.4959995,2130.768708,1225.581653
2005-11-06,665.795741,2096.858265,909.7321256,921.8068334,2133.67554,1226.001815
2005-11-07,665.830487,2097.324756,909.7761601,922.1159721,2136.566521,1226.419685
2005-11-08,665.8623829,2097.752983,909.8165827,922.4234157,2139.441649,1226.835264
2005-11-09,665.8916914,2098.14647,909.8537261,922.7291642,2142.300924,1227.248552
2005-11-10,665.9186455,2098.508349,909.8878857,923.0332175,2145.144347,1227.659548
2005-11-11,665.943453,2098.841408,909.9193249,923.3355757,2147.971917,1228.068253
2005-11-12,665.9662999,2099.148146,909.9482795,923.6362388,2150.783635,1228.474666
2005-11-13,665.9873249,2099.430421,909.974925,923.9352067,2153.579501,1228.878788
2005-11-14,666.0063615,2099.686001,909.9990505,924.2324795,2156.359514,1229.280619
2005-11-15,666.0234682,2099.915672,910.0207303,924.5151563,2159.00303,1229.66272
2005-11-16,666.0390353,2100.124672,910.040459,924.7140304,2160.862846,1229.931543
2005-11-17,666.0532014,2100.314862,910.058412,924.8458144,2162.095254,1230.109679
2005-11-18,666.0660925,2100.487935,910.0747493,924.9331411,2162.911909,1230.22772
2005-11-19,666.0778234,2100.645431,910.0896162,924.9910082,2163.453066,1230.305941
2005-11-20,666.0884986,2100.788753,910.1031451,925.0293538,2163.811664,1230.357774
2005-11-21,666.098213,2100.919176,910.1154564,925.0547636,2164.049289,1230.39212
2005-11-22,666.1070531,2101.037861,910.1266597,925.0716013,2164.206751,1230.414881
2005-11-23,666.1150975,2101.145864,910.1368547,925.0827589,2164.311093,1230.429962
2005-11-24,666.122418,2101.244147,910.1461321,925.0901525,2164.380236,1230.439957
2005-11-25,666.1290796,2101.333584,910.1545746,925.0950518,2164.426053,1230.446579
2005-11-26,666.1351417,2101.414972,910.1622572,925.0982984,2164.456414,1230.450968
2005-11-27,666.1406582,2101.489035,910.1692484,925.1004497,2164.476533,1230.453876
2005-11-28,666.1456782,2101.556433,910.1756104,925.1018753,2164.489864,1230.455803
2005-11-29,666.1502465,2101.617764,910.1813998,925.1028199,2164.498699,1230.457079
2005-11-30,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-01,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-02,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-03,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-04,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-05,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-06,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-07,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-08,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-09,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-10,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-11,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-12,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-13,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-14,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
2005-12-15,666.1525092,2101.648143,910.1842674,925.1034459,2164.504553,1230.457926
