id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17764717,1BDR Bright cozy unit- Wifi-Kitchen-Balcony,117671909,Simon,,Kitsilano,49.26891,-123.18143,Entire home/apt,175,30,41,2022-08-15,0.63,3,133,1,19-161066
17767948,"The Turquoise Suite- new, private 2 bedroom suite",121285166,Nico,,Kensington-Cedar Cottage,49.23711,-123.07616,Entire home/apt,111,30,34,2022-08-31,0.55,1,73,5,Exempt
17790697,"Modern 1BR w/Den, Solarium Room, AC Condo in DT",121532918,May,,Downtown,49.27626,-123.11505,Entire home/apt,90,365,5,2021-07-07,0.08,1,11,0,
17799980,"Warm, Cosy & Private Two Bedroom on the Drive",37722764,Jason,,Grandview-Woodland,49.27295,-123.07359,Entire home/apt,199,3,41,2021-09-27,0.62,1,0,2,21-158911
17849718,"Large, private 1 bed executive condo in yaletown",83325096,George,,Downtown,49.27486,-123.11602,Entire home/apt,160,30,28,2022-06-14,0.43,1,69,2,
17891295,Condo middle of DT Vancouver 2 bdrs +1 FreeParking,31782098,Ziad,,West End,49.28249,-123.1243,Entire home/apt,125,30,41,2022-08-29,0.64,1,192,5,
17905368,"West End Jem! Jr. 1br, 2blks from Beach",23633177,Tammy,,West End,49.2922,-123.14128,Entire home/apt,148,30,9,2017-10-09,0.14,2,0,0,
17907461,Downtown Vancouver / Yaletown Luxury Living (2),58766804,Desired Destinations,,Downtown,49.27496,-123.12725,Entire home/apt,159,30,25,2022-06-27,0.38,2,87,6,18-552312
17911210,Spacious Loft | 2-Levels w/Balcony (shared room),1522256,Natalia,,Downtown,49.28455,-123.10707,Shared room,195,1,60,2022-08-01,0.92,2,0,13,22-156224
17964143,Vintage 1950s East Van Family Home Near Skytrain,123356256,Morgan,,Hastings-Sunrise,49.26359,-123.03654,Entire home/apt,120,2,3,2018-08-17,0.05,1,0,0,20-160187
17979518,CoLIVE&CoWORK/Ensuite/Garden/Jacuzzi/Sauna,93829739,Matthew,,Kerrisdale,49.23134,-123.14207,Private room,83,30,40,2022-07-01,0.61,6,0,1,765434
17980077,Bright Euro loft in central Vancouver!,6510867,Sarah Thomas,,Strathcona,49.26917,-123.09949,Entire home/apt,140,30,8,2022-08-01,2.35,1,171,8,18-604944
17994715,Admire Views of Emery Barnes Park at a Soft-Gray Studio,23977001,Emma,,Downtown,49.27704,-123.12395,Entire home/apt,144,30,16,2021-09-30,0.24,12,191,1,
18019961,Spacious 3 BR + 3 bath townhouse + secure parking,6120439,Kerry,,Kensington-Cedar Cottage,49.25158,-123.07801,Entire home/apt,425,3,20,2022-08-07,0.32,1,0,5,22-156442
18034711,Cozy home in great location close to the beach.,124052402,Marta,,West End,49.28709,-123.13615,Private room,90,2,27,2019-07-28,0.42,1,0,0,19-161604
18040461,Modern studio in the heart of downtown Vancouver,96705185,Polina,,Downtown,49.28029,-123.12526,Entire home/apt,115,30,90,2018-09-01,1.37,1,0,0,
18058854,"Spacious, Bright 1 BR suite in East Vancouver",12956571,Michael,,Hastings-Sunrise,49.2688,-123.05555,Entire home/apt,149,7,127,2022-09-01,1.93,1,349,22,22-155891
18062481,Minutes to Beach - Kitsilano Garden Suite,5240733,Margaret,,Kitsilano,49.2662,-123.17177,Entire home/apt,150,28,6,2021-07-29,0.14,1,83,0,18-611555
18063805,Skytrain & Airport/2nd FL Private room w/bathroom,28946580,Wen,,Marpole,49.2118,-123.11181,Private room,75,1,82,2022-09-03,1.63,2,90,24,22-155898
18076938,"Do Vancouver Sustainably, and in Style.",23038499,Shant,,Mount Pleasant,49.264301,-123.08522,Entire home/apt,518,30,95,2022-05-01,1.49,1,229,3,19-231419
18089401,Studio With Parking in the Heart of Downtown,179396,Lili,,West End,49.27929,-123.13063,Entire home/apt,130,30,47,2022-06-30,0.74,4,62,9,20-104937
18141945,CoLIVE&CoWORK/Huge BrightRoom/Garden/Jacuzzi/Sauna,93829739,Matthew,,Kerrisdale,49.23166,-123.14237,Private room,64,30,42,2022-09-01,0.64,6,155,1,
18152388,1 bdrm with ensuite bath in Central Vancouver,117119918,Kitty,,Kensington-Cedar Cottage,49.2394,-123.08998,Private room,47,30,7,2022-04-30,0.14,5,128,1,
18177758,Big & luxury basement suite near downtown Vancouver,862996,Hong Quan,,South Cambie,49.24582,-123.11826,Entire home/apt,124,2,106,2022-08-26,1.62,1,64,28,22-156917
18231285,Private Room near West Broadway & Granville,125891752,Nimrah,,Fairview,49.26153,-123.13439,Private room,35,30,30,2020-07-31,0.54,2,0,0,
18270850,Quaint family style home in quite neighbourhood,126002388,Mel,,Kensington-Cedar Cottage,49.24992,-123.08071,Entire home/apt,326,1,241,2022-09-02,3.89,2,56,49,22-155955
18273285,Unique Character Home in Kits,81542039,Beth,,Kitsilano,49.26504,-123.18525,Entire home/apt,425,4,26,2022-09-06,0.51,1,223,12,22-156188
18328785,Entire Penthouse   - Min 31 days.,120651321,Cheri,,Downtown,49.28035,-123.12505,Private room,285,31,6,2022-06-30,0.15,2,38,2,
18339479,"The Yellow House, 3 BDR , garden & studio",6093659,Ari,,Grandview-Woodland,49.26419,-123.07647,Entire home/apt,406,2,54,2021-08-28,0.83,1,80,0,21156373
18357164,"Cheerful, one bedroom suite in 1940's bungalow.",17965624,Scott,,Hastings-Sunrise,49.26563,-123.04365,Entire home/apt,121,2,147,2022-09-09,2.91,1,64,40,22-156622
18359361,Private Room In Heritage Home on Commercial Drive,110997032,Emma,,Grandview-Woodland,49.27289,-123.07405,Private room,55,3,86,2020-11-18,1.32,1,0,0,18-589528
18371630,"Bright Spacious Family Home, Fantastic Location",101303135,Grant,,Grandview-Woodland,49.26454,-123.0648,Entire home/apt,350,2,8,2022-08-19,0.13,2,111,5,22-229627
18374938,Light the Electric Fire at This Ambient Lit Modern Pad,80942040,Harlene And Sean,,Sunset,49.21417,-123.08368,Entire home/apt,124,2,391,2022-04-30,6.01,1,0,30,22-156355
18397672,Fab location+ superhost! Not to be missed!,108760439,Victoria,,Riley Park,49.25354,-123.09635,Entire home/apt,95,30,65,2022-03-31,1.00,2,41,2,151186
18408882,West Coast Guest House,63299080,Karla,,Grandview-Woodland,49.26787,-123.0652,Entire home/apt,128,3,93,2020-02-21,1.43,2,0,0,18-571552
18411101,Bright open space near Main street/False creek.,7744820,Michael,,Strathcona,49.26806,-123.09441,Entire home/apt,135,30,0,,,1,109,0,
18416487,Modern and Bright Downtown/Yaletown Condo,3731102,Karen,,Downtown,49.27756,-123.12097,Entire home/apt,105,30,5,2019-02-06,0.09,1,0,0,
18416795,[CENTRAL] Downtown Condo (1 bed + 1 Solarium),87766042,Jay,,Downtown,49.27953,-123.12046,Entire home/apt,239,30,34,2018-09-05,0.52,1,0,0,Exempt
