id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
709669548132059660,Departamento en condesa.,127460014,Gaby,,Cuauhtémoc,19.41176,-99.16761,Private room,320,1,0,,,1,326,0,
710915594073834064,Excelente ubicación Polanco Reforma Centro,457656679,Ignacio David,,Miguel Hidalgo,19.4455831,-99.1758457,Entire home/apt,700,1,1,2022-09-19,1,2,329,1,
710915886844471610,1 Bed in Shared Apt. Heart of Condesa,20056776,Anthony,,Cuauhtémoc,19.411029348692878,-99.1779941739587,Private room,550,2,0,,,3,364,0,
710918949841286672,1 Bed in Shared Apt in the Heart of Condesa,20056776,Anthony,,Cuauhtémoc,19.411172528201803,-99.1786434131871,Private room,550,2,0,,,3,244,0,
709690758091531206,Estudio en el corazón del emblemático México,27177964,Ernesto,,Cuauhtémoc,19.440951434914652,-99.13772452622652,Entire home/apt,443,1,7,2022-09-18,7,4,349,7,
710927682773415084,"Amplio alojamiento p/4 personas, 2 camas, wifi &tv",316264544,Rosario,,Miguel Hidalgo,19.4323026,-99.1781032,Private room,1500,1,0,,,30,355,0,
710934362543394969,w* | Thrilling 2BR in Cuauhtémoc,16148871,Wynwood,,Cuauhtémoc,19.421665194625874,-99.17063574181248,Entire home/apt,1677,1,3,2022-09-18,3,83,301,3,
709693988852406116,Bonita y tranquila habitación en la Condesa.,68515745,Carla,,Cuauhtémoc,19.41193,-99.1718,Private room,440,2,1,2022-09-08,1,1,249,1,
710943923812336212,Private rooftop in Roma Norte,448943389,Casa,,Cuauhtémoc,19.423122424383656,-99.15777373683412,Entire home/apt,1098,2,1,2022-09-17,1,6,298,1,
710973460009141586,Apartment In The Trees,951223,Mark,,Cuauhtémoc,19.43458,-99.16072,Entire home/apt,10000,3,0,,,1,120,0,
709699204996831855,Casa Luna Coyoacán (yoga+ desayuno),74242532,Diego,,Coyoacán,19.348353840922332,-99.15227857388948,Private room,799,2,0,,,5,342,0,
709699739038195006,Casa Luna Coyoacán (14 huéspedes),74242532,Diego,,Coyoacán,19.348115523961333,-99.15101383115304,Entire home/apt,2450,1,0,,,5,230,0,
710982092384484535,"Habitación Cómoda, céntrica y todos los servicios.",259257521,Ricardo,,Benito Juárez,19.3906083,-99.14001569999999,Private room,300,1,3,2022-09-17,3,2,365,3,
709974841593089188,Linda y comoda habitación en lugar bonito,118669636,Lupita,,Miguel Hidalgo,19.3877532,-99.24697959999999,Private room,700,1,0,,,2,10,0,
711041258479466527,Un departamento de lujo en la mejor zona de CDMX,48106570,Alex,,Miguel Hidalgo,19.436812944817994,-99.19961838839872,Entire home/apt,4100,2,1,2022-09-21,1,14,56,1,
710025202474359325,Hermoso Condo Suite-Color Downtown+Alameda Central,365678551,Germaine,,Cuauhtémoc,19.4342202,-99.1456585,Entire home/apt,1228,3,0,,,1,209,0,
711051448008460384,Hermosa habitación en el corazón de la condesa! 2ª,341835653,Eugenio Abraham,,Cuauhtémoc,19.4132253,-99.1708008,Private room,450,1,0,,,1,166,0,
710049983278009040,Hermoso y acogedor departamento cerca de Foro Sol,478410625,Amalia,,Iztacalco,19.399021801554603,-99.09228310570316,Entire home/apt,599,2,0,,,1,142,0,
710084513537983308,Nuevo dpto en el corazón de Polanco,466554935,Destination Mx,,Miguel Hidalgo,19.43186,-99.18352,Entire home/apt,2816,1,1,2022-09-12,1,2,324,1,
711070849017184828,Hermoso depto. ubicado cerca de plazas y parques.,240808193,Ivanova,,Benito Juárez,19.366885747136976,-99.15753288692348,Entire home/apt,844,2,0,,,1,169,0,
710090141179396235,Private room with kitchen and terrace near to WTC,398202528,Mauricio,,Benito Juárez,19.393176627278187,-99.17279336993582,Private room,1137,1,3,2022-09-16,3,6,340,3,
711402986503412920,"Fun in 3 floors, private Roof Top/Jacuzzi, 6PAX",101739009,Nataly,,Cuauhtémoc,19.42724588588718,-99.15985703827863,Entire home/apt,3252,2,0,,,1,349,0,
710133730659221759,Extraordinario Departamento Nuevo en la Narvarte,51622446,Alberto,,Benito Juárez,19.3878975,-99.1570158,Entire home/apt,1629,1,0,,,9,356,0,
710148536479516430,Casa amplia y segura.,75420730,Marlenne,,Gustavo A. Madero,19.46637646507133,-99.07574614547786,Private room,400,1,0,,,1,365,0,
711410914355987416,Departamento muy tranquilo para descansar,241966632,Gustavo Candido,,Venustiano Carranza,19.440973,-99.1153743,Entire home/apt,281,1,0,,,1,348,0,
710165500373912338,Loft Sinaloa: cozy loft + luxury amenities,478439987,Isabel,,Cuauhtémoc,19.4198868,-99.17201759999999,Entire home/apt,1997,1,0,,,1,339,0,
710169344968676541,"Lovely 2 bedroom at Cibeles, the heart of Roma.",2991787,Cesar,,Cuauhtémoc,19.421544071761474,-99.16619136731082,Entire home/apt,2400,3,0,,,1,359,0,
711416870251462340,"Hermoso departamento, súper ubicado seguridad 24h",179259567,Ricardo,,Iztacalco,19.394493244922938,-99.08336941494069,Entire home/apt,900,1,1,2022-09-18,1,1,347,1,
710205968018521959,Loft Suite Paseo de la Reforma,245618000,Alejandra,,Cuauhtémoc,19.43225604295881,-99.1600497199312,Entire home/apt,769,1,3,2022-09-13,3,59,40,3,
710219140359597895,102 Habitación a 5 minutos caminando del AICM,355536592,Mario,,Venustiano Carranza,19.436121353910366,-99.08527305585814,Private room,350,1,0,,,21,344,0,
711527539028380778,"Habitación en el centro CDMX, vigilancia 24 hrs",340640861,Ana,,Cuauhtémoc,19.42206880948279,-99.14303022652325,Private room,319,1,0,,,1,360,0,
710221803612997586,Acogedor depto entero en Condesa vista spectacular,449711995,Margarita Guadalupe,,Cuauhtémoc,19.417769083148535,-99.17455097090493,Entire home/apt,1326,2,1,2022-09-18,1,2,337,1,
711550539885546182,Habitaciones boutique dobles en Casa Suspiros,471893398,Casa Suspiros,,Miguel Hidalgo,19.4139827126446,-99.2168440641782,Private room,2400,1,0,,,12,76,0,
711578900429663981,Bedroom with balcony in apartment in Roma colony,85737360,Daniel,,Cuauhtémoc,19.405046,-99.15625109999999,Private room,377,1,1,2022-09-14,1,5,350,1,
710250440424832673,VH | Depa en Narvarte | 2 rec wifi & terraza | 114,17875052,Sebastián,,Benito Juárez,19.3899036,-99.1517123,Entire home/apt,845,1,1,2022-09-18,1,32,357,1,
711604020075904430,VH | Cerca Polanco | Depa 1 rec + gym + piscina | 51,382880251,Carcho,,Miguel Hidalgo,19.4338154,-99.2117564,Entire home/apt,1437,2,0,,,45,354,0,
710255410696223005,111 Habitación a 5 minutos caminando del AICM,355536592,Mario,,Venustiano Carranza,19.437936133447916,-99.0851456272701,Private room,350,1,0,,,21,347,0,
711626147624280333,Hermoso departamento en el Centro de la Ciudad,423910672,Luis,,Cuauhtémoc,19.431744291347684,-99.14179614303151,Entire home/apt,1298,1,1,2022-09-16,1,3,351,1,
710255642259290937,Habitación privada en Coyoacán,74242532,Diego,,Coyoacán,19.348594481953107,-99.15031200471559,Private room,399,1,0,,,5,333,0,
711656191318418769,Hermosa e iluminada habitación,31540218,Roy,,Cuauhtémoc,19.40595398045378,-99.17345088888626,Private room,400,1,1,2022-09-19,1,20,6,1,
710256008314148438,Habitación privada en Casa Luna Coyoacan,74242532,Diego,,Coyoacán,19.349259257545643,-99.1515510834671,Private room,793,2,0,,,5,330,0,
711671181999102171,Casa con Jardín y Terraza en Virreyes,471893398,Casa Suspiros,,Miguel Hidalgo,19.415172285432906,-99.21822929678055,Entire home/apt,7950,1,0,,,12,69,0,
711819758654746440,w* | Cozy 1BR in Polanco,16148871,Wynwood,,Miguel Hidalgo,19.43715,-99.2005,Entire home/apt,1204,1,0,,,83,362,0,
710263338699357564,Increíble departamento amueblado,478450328,Fernanda,,Miguel Hidalgo,19.44010502509418,-99.17625355453643,Entire home/apt,1210,2,0,,,1,358,0,
711819870113767634,w* | Mind Blowing 1BR in Polanco,16148871,Wynwood,,Miguel Hidalgo,19.436943206241875,-99.1985297626149,Entire home/apt,1204,1,2,2022-09-22,2,83,358,2,
712107294632784523,Departamento,122277296,Gustavo,,Miguel Hidalgo,19.43773326612775,-99.1837082005689,Entire home/apt,3000,1,0,,,3,175,0,
710271488948822258,105 Habitación a 5 minutos caminando del AICM,355536592,Mario,,Venustiano Carranza,19.438137886430113,-99.08332118246126,Private room,350,1,0,,,21,348,0,
710276663413094980,Hermoso condominio recién amueblado,180355608,Alejandro,,Cuajimalpa de Morelos,19.356149734396915,-99.29009894406526,Entire home/apt,850,1,1,2022-09-18,1,1,364,1,
712213442918469895,"¡Casa La Lotería! 2BDR, center location. Welcome",111159619,Itzel,,Cuauhtémoc,19.427744127419718,-99.17114849486659,Entire home/apt,1595,3,0,,,2,308,0,
